	s1	s3	s5	s7	s9	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	
128m	7382	4280	2962	2035	1578	1263	1041	930	845	785	732	692	646	624	605	593	
64m	7314	4306	2941	2065	1595	1309	1091	959	872	802	743	702	660	635	612	601	
32m	7471	4406	3030	2139	1648	1371	1168	1021	925	860	798	749	700	680	667	629	
16m	7430	4502	3225	2340	1832	1527	1297	1139	1050	980	920	882	820	783	800	815	
8m	7648	4860	3785	3030	2168	1809	1449	1226	1360	1289	1394	1577	1361	1586	1551	1476	
4m	8079	7846	7087	6106	4985	4198	3724	3250	3008	2876	2753	2675	2512	2504	2430	2399	
2m	8199	7924	7269	6218	5038	4272	3708	3251	2991	2868	2764	2665	2590	2518	2479	2441	
1024k	8194	7925	7385	6223	5037	4272	3697	3252	2998	2871	2752	2677	2596	2531	2475	2442	
512k	8200	7921	7373	6221	5056	4302	3721	3269	3005	2887	2803	2732	2697	2673	2651	2750	
256k	8195	8096	7906	7458	6826	6130	5601	5061	4836	4809	4776	4815	4717	4787	4853	4924	
128k	8206	8130	8077	8039	8052	7577	7253	6733	6439	6315	6376	6380	6296	6294	6354	6049	
64k	8231	8189	8099	8062	7561	7257	6183	5492	5057	5192	5004	5172	6508	5985	6162	6342	
32k	8161	8075	8028	8059	7803	7842	7723	7502	7542	7459	7394	7537	7412	7128	7253	7024	
16k	7903	7818	7704	7506	7325	7202	7129	7123	7035	6912	6763	6690	4626	4551	4592	4732	
8k	4926	4918	4887	4855	4757	4766	4666	4585	4540	4316	4378	4746	6013	5929	7426	7610	
4k	7892	7119	6771	6709	6182	7486	6053	8202	7110	7166	8665	6546	3907	7002	7519	7409	
2k	7244	6798	5975	4754	7227	8265	7788	5802	6094	5567	5173	4746	4547	4705	4391	5028	
1k	7001	6217	8368	5767	6695	6011	5737	4029	3764	3533	3413	3910	3047	3035	3111	3200
